candidato,arquivo,evento
ciro,08-22-oglobo_valoreconomico_cbn_ciro_DATAd1WHJHoHyI0.txt,08-22-oglobo_valoreconomico_cbn
tebet,08-22-oglobo_valoreconomico_cbn_tebet_DATAucjnZDXK2HU.txt,08-22-oglobo_valoreconomico_cbn
bolsonaro,10-22_record_tv_2_turno_bolsonaro_DATAMYdhIY7Di3k.txt,10-22_record_tv_2_turno
bolsonaro,09-22-rede_tv_setembro_bolsonaro_DATAzcXcgROJSxk.txt,09-22-rede_tv_setembro
lula,09-22-cnn_lula_DATAKDDaRmgMAlY.txt,09-22-cnn
ciro,09-22-cnn_ciro_DATAmdP-roUajEI.txt,09-22-cnn
tebet,09-22-cnn_tebet_DATA7FJcjDBr52s.txt,09-22-cnn
bolsonaro,09-22-record_tv_setembro_bolsonaro_DATAUS9V4hwN75I.txt,09-22-record_tv_setembro
ciro,09-22-record_tv_setembro_ciro_DATAtF4OsSedFcE.txt,09-22-record_tv_setembro
tebet,09-22-record_tv_setembro_tebet_DATAjSOcw2BQ4Dc.txt,09-22-record_tv_setembro
bolsonaro,09-22-sbt_ratinho_bolsonaro_DATAGGR6DC4rjBE.txt,09-22-sbt_ratinho
lula,09-22-sbt_ratinho_lula_DATAM-kvW21_roM.txt,09-22-sbt_ratinho
ciro,09-22-sbt_ratinho_ciro_DATA4qKZMemzc0s.txt,09-22-sbt_ratinho
tebet,09-22-sbt_ratinho_tebet_DATARgNneVCmGRg.txt,09-22-sbt_ratinho
bolsonaro,09-22-cb_e_tvbrasilia_setembro_bolsonaro_DATAft2H117dnu0.txt,09-22-cb_e_tvbrasilia_setembro
ciro,09-22-cb_e_tvbrasilia_setembro_ciro_DATAKb_YtHDmbmg.txt,09-22-cb_e_tvbrasilia_setembro
tebet,09-22-cb_e_tvbrasilia_setembro_tebet_DATAEiISAkd8mtE.txt,09-22-cb_e_tvbrasilia_setembro
lula,07-22_uol_lula_DATAvkGJ1GJ_ics.txt,07-22_uol
lula,30-10-22-primeiro_discurso_eleito_lula_lula_DATAFzjNlPFJxZk.txt,30-10-22-primeiro_discurso_eleito_lula
lula,01-22-o_liberal_lula_DATATy8suBk674M.txt,01-22-o_liberal
